servico_tabela_atual,grupo_servico,atividade_ART_equivalente,modalidade_ART,formacao_ART,tipo_correspondencia,confiabilidade,usar_para_calculo,motivo,observacao
Projetos Civis (BTN/m2 por natureza x faixa de area),4-Projetos Civis,Projeto - EDF. DE ALVENARIA,OBRA/SERVICO,Engenheiro Civil,correspondencia aproximada,media,sim,"Edificacao de alvenaria mapeia para projeto civil por area (m2); unidade m2 e a mais frequente nas ARTs (mediana R$ 2.000)","Servico frequente; usar Classe A como base primaria e Classe B com regra explicita"
Calculo Estrutural-1 (BTN/m2),6-Calculo Estrutural,Execucao de Obra Tecnica - ESTRUTURA DE CONCRETO,OBRA/SERVICO,Engenheiro Civil,correspondencia aproximada,media,sim,"Estrutura de concreto corresponde a calculo estrutural por m2; ART e de execucao, nao estritamente de calculo/projeto","Verificar se ha codigo de projeto estrutural separado; aproximada por diferenca execucao vs projeto"
Calculo Estrutural de residencias (%CUB/m2 + R$/m2),7-Calculo Estrutural de residencias,Projeto - ESTRUTURA DE CONCRETO ARMADO,OBRA/SERVICO,Engenheiro Civil,correspondencia aproximada,media,sim,"Projeto de estrutura de concreto armado mapeia para calculo estrutural residencial/edificio","Distinguir residencia (aba 7) de edificio (aba 8) exige porte da obra; usar faixas"
Calculo estrutural de edificios (%CUB/m2 + R$/m2),8-Calculo estrutural de edificios,Projeto - ESTRUTURA DE CONCRETO ARMADO,OBRA/SERVICO,Engenheiro Civil,correspondencia aproximada,media,sim,"Projeto estrutural de concreto armado aplica-se a edificios por %CUB/m2","Separacao residencia vs edificio nao e explicita no campo atividade; inferir por porte"
Instalacoes Eletricas e de Comunicacao (BTN/m2),11-Instalacoes Eletricas e de Comunicacao,Projeto - INST.ELETR.EM BAIXA TENSAO,OBRA/SERVICO,Engenheiro Eletricista,correspondencia aproximada,media,sim,"Instalacao eletrica em baixa tensao corresponde a aba de instalacoes eletricas por m2 (mediana modalidade Eletricista R$ 1.500)","Servico frequente (6.000+ linhas); base Classe A util"
Instalacoes Eletricas e de Comunicacao (BTN/m2),11-Instalacoes Eletricas e de Comunicacao,Execucao - INST.ELETR.EM BAIXA TENSAO,OBRA/SERVICO,Engenheiro Eletricista,correspondencia aproximada,media,sim,"Execucao de instalacao eletrica baixa tensao alinha com aba 11","ART de execucao difere de projeto; aproximada"
Saneamento (BTN/ha; drenagem/agua/esgoto),9-Saneamento,REDE HIDRO-SANITARIA,OBRA/SERVICO,Engenheiro Civil,correspondencia aproximada,media,sim,"Rede hidro-sanitaria mapeia parcialmente para saneamento; tabela usa ha e ART usa m2/unidade","Unidade da tabela (ha) difere; conferir se ART e predial (m2) ou de rede (ha)"
Instalacoes Hidraulicas e Mecanicas (BTN/m2),10-Instalacoes Hidraulicas e Mecanicas,REDE HIDRO-SANITARIA,OBRA/SERVICO,Engenheiro Civil,correspondencia aproximada,media,sim,"Rede hidro-sanitaria predial corresponde a instalacoes hidraulicas por m2","Sobreposicao com Saneamento (aba 9); ambiguidade de enquadramento"
Direcao e Administracao de Construcoes (R$/m2),2-Direcao e Administracao de Construcoes,Execucao de Obra Tecnica - EDF. DE ALVENARIA,OBRA/SERVICO,Engenheiro Civil,correspondencia aproximada,baixa,somente frequencia,"Execucao de obra pode envolver direcao/administracao, mas a ART nao distingue gestao de obra de execucao tecnica","Vinculo fraco; nao calcular valor por essa equivalencia"
Direcao e Administracao de Construcoes (R$/m2),2-Direcao e Administracao de Construcoes,Informacao insuficiente para verificar,OBRA/SERVICO,Engenheiro Civil,servico da tabela sem evidencia nas ARTs,baixa,nao,"Nao ha codigo de atividade nas ARTs que identifique especificamente direcao/administracao de construcao como servico distinto","Servico da tabela sem mapeamento confiavel; documentar lacuna"
