grupo_atividade,atividade,modalidade,descricao,unidade_referencia,criterio_precificacao,variaveis_relevantes,dados_ART_disponiveis,confiabilidade,observacao
Construção Civil,Elaboração de projeto,Engenharia Civil,Projeto de edificação,metro quadrado,Esforço técnico x area + complexidade,area / padrao construtivo / regiao,"Sim - unidade m2 com ~200.541 registros (todas modalidades)",Alta para frequencia / Media para valor,"Mediana e IQR calculaveis por atividade x m2; valor monetario depende de calibracao - Informacao insuficiente para verificar"
Construção Civil,Execução de obra,Engenharia Civil,Acompanhamento/execução de obra,metro quadrado,Esforço x area + risco,area / risco / porte,Sim - m2,Alta freq / Media valor,Informação insuficiente para verificar (valor)
Construção Civil,Fiscalização,Engenharia Civil,Fiscalização de obra,metro quadrado,Tempo tecnico x area,area / duracao,Sim - m2,Alta freq / Media valor,Informação insuficiente para verificar (valor)
Construção Civil,Laudo/Vistoria/Perícia,Engenharia Civil,Laudo tecnico ou vistoria,unidade,Tempo tecnico por evento,complexidade / deslocamento,"Sim - unidade ~150.661 registros",Alta freq / Media valor,Informação insuficiente para verificar (valor)
Elétrica,Projeto elétrico,Engenharia Elétrica,Projeto de instalação elétrica,quilovolt-ampère (kVA),Esforço x potencia,potencia kVA / complexidade,"Sim - kVA ~11.443 registros",Media,"Unidade kVA ja praticada no mercado; valor - Informacao insuficiente para verificar"
Elétrica,Projeto fotovoltaico,Engenharia Elétrica,Projeto de geração solar,quilowatt-pico (kWp),Esforço x potencia instalada,potencia kWp / tipo (on/off-grid),"Sim - kWp ~40.177 registros",Media-Alta (volume relevante),"Servico emergente citado no projeto; ja ha base empirica significativa em kWp; valor - Informacao insuficiente para verificar"
Elétrica,Execução/instalação elétrica,Engenharia Elétrica,Execução de instalação,quilowatt (kW),Esforço x potencia,potencia kW / porte,"Sim - quilowatt ~46.798 registros",Media,Informação insuficiente para verificar (valor)
Agronomia,Receituário agronômico,Engenharia Agronômica,Emissão de receituário,unidade,Por evento/receita,cultura / area,"Sim - tipo_art Receituario Agronomico ~70.337",Alta freq,"Volume alto; valor frequentemente baixo/zero - tratar a parte; Informacao insuficiente para verificar (valor)"
Agronomia,Projeto/assistência rural,Engenharia Agronômica,Projeto ou ATER,hectare,Esforço x area,area ha / cultura / regiao,"Sim - hectare ~17.793 registros",Media,Informação insuficiente para verificar (valor)
Segurança do Trabalho,PGR/PCMSO/laudos,Engenharia de Segurança,Programas e laudos de SST,unidade,Tempo tecnico por documento/empresa,porte da empresa / nº trabalhadores,Sim - parte em unidade,Media,Informação insuficiente para verificar (valor)
Mecânica,Projeto/inspeção mecânica,Engenharia Mecânica,Projeto ou inspeção,unidade,Tempo tecnico por equipamento,complexidade / norma aplicavel,Sim - unidade,Media,Informação insuficiente para verificar (valor)
Ambiental,Estudo/licenciamento ambiental,Engenharia Ambiental,Estudos e licenciamento,unidade,Tempo tecnico por estudo,porte / tipo de licenca,Sim - unidade,Media,Informação insuficiente para verificar (valor)
Agrimensura,Levantamento topográfico/georref.,Engenharia Agrimensura,Levantamento e georreferenciamento,hectare,Esforço x area,area ha / precisao exigida,"Sim - hectare / metro / km",Media,Informação insuficiente para verificar (valor)
Infraestrutura,Obras lineares (vias/redes),Engenharia Civil/Elétrica,Projetos/execução lineares,quilômetro,Esforço x extensao,extensao km / terreno,"Sim - quilometro ~3.964; metro ~12.957",Media,Informação insuficiente para verificar (valor)
Recursos Hídricos,Obras hidráulicas/saneamento,Engenharia Civil/Ambiental,Reservatórios e redes,metro cúbico,Esforço x volume,volume m3 / complexidade,"Sim - metro cubico ~10.765",Media,Informação insuficiente para verificar (valor)
Serviços por tempo,Consultoria/cargo-função,Multimodalidade,Serviços remunerados por tempo,hora / mês / ano,Valor-hora de referencia x tempo,jornada / senioridade,"Sim - hora/dia/mes/ano e Cargo-Funcao ~4.093",Baixa-Media,"Ancorar no piso profissional (Lei 4.950-A/66 - a confirmar); Informacao insuficiente para verificar (valor)"
